round,agg_weights,phi_raw,phi_ema,phi_util,phi_fair,fu_warmup,fu_fallback,phi_nan_frac,n_clipped,kept,g_norm_median,g_norm_max,phi_norm,g_auc,g_dpd,g_diverged
1,"[0.0, 0.26191097497940063, 0.2689021825790405, 0.2344290167093277, 0.23475782573223114]","[-0.10063502192497253, 0.1381920874118805, 0.14188086986541748, 0.12369178980588913, 0.1238652765750885]","[-0.355288565158844, 0.487882524728775, 0.5009056329727173, 0.43668970465660095, 0.43730220198631287]","[-0.09943059086799622, 0.13781079649925232, 0.1414235234260559, 0.12397844344377518, 0.12349142134189606]","[-0.0012044345494359732, 0.0003812806389760226, 0.00045735781895928085, -0.00028668507002294064, 0.0003738829691428691]",,,0.0,0,,6.34710693359375,6.468257904052734,"[-0.35528857, 0.48788252, 0.50090563, 0.4366897, 0.4373022]",0.7170285714285715,0.030923493269286784,0.0
2,"[0.0, 0.2522956132888794, 0.2648422420024872, 0.24474681913852692, 0.23811529576778412]","[-0.11752323061227798, -0.016635339707136154, 0.007669266313314438, 0.06569215655326843, 0.0360846184194088]","[-0.3670616149902344, 0.4323987066745758, 0.45390185713768005, 0.4194611608982086, 0.40809565782546997]","[-0.11990636587142944, -0.01782984659075737, 0.006984531879425049, 0.0665799081325531, 0.03553949296474457]","[0.002383126411587, 0.0011944732395932078, 0.0006847321637906134, -0.0008877135114744306, 0.0005451317992992699]",,,0.0,0,,6.1891632080078125,6.322917461395264,"[-0.4730193, -0.06695559, 0.03086803, 0.26440439, 0.145237]",0.6742857142857143,0.005942853309502394,0.0
3,"[0.0, 0.24921299517154694, 0.25501391291618347, 0.2590343952178955, 0.23673871159553528]","[-0.09649021178483963, 0.0363154374063015, 0.010343194007873535, 0.10803191363811493, 0.04073290154337883]","[-0.3673951029777527, 0.4030992090702057, 0.4124821126461029, 0.4189852178096771, 0.3829222023487091]","[-0.09710133820772171, 0.036472368985414505, 0.010321948677301407, 0.10820184648036957, 0.040853358805179596]","[0.0006111140246503055, -0.00015692293527536094, 2.1243908122414723e-05, -0.00016986903210636228, -0.00012048184726154432]",,,0.0,0,,6.015444278717041,6.30790901184082,"[-0.3703967, 0.13940397, 0.03970439, 0.41470179, 0.15636127]",0.7104,0.030891316583596395,0.0
4,"[0.0, 0.250708669424057, 0.2435135841369629, 0.2773838937282562, 0.22839391231536865]","[-0.047466911375522614, 0.025916146114468575, -0.018884794786572456, 0.085456982254982, -0.009408153593540192]","[-0.3509712219238281, 0.3738812804222107, 0.3631512522697449, 0.4136619567871094, 0.3406033217906952]","[-0.04970843344926834, 0.026069439947605133, -0.0187077559530735, 0.08585062623023987, -0.01031408179551363]","[0.0022415281273424625, -0.00015328184235841036, -0.00017699769523460418, -0.0003936607390642166, 0.0009059303556568921]",,,0.0,0,,5.99544095993042,6.244657039642334,"[-0.20315662, 0.11092015, -0.08082622, 0.36575273, -0.04026655]",0.6812952380952382,0.01524880112203475,0.0
5,"[0.0, 0.242237389087677, 0.23715634644031525, 0.29238539934158325, 0.2282208353281021]","[-0.1515340805053711, 0.00478420639410615, 0.013233556412160397, 0.11715829372406006, 0.03898243606090546]","[-0.36193716526031494, 0.33794742822647095, 0.33085882663726807, 0.4079093337059021, 0.318392813205719]","[-0.1532197892665863, 0.005129343364387751, 0.013289259746670723, 0.11759138107299805, 0.038644321262836456]","[0.0016857136506587267, -0.00034512291313149035, -5.569720087805763e-05, -0.0004330898227635771, 0.00033811942557804286]",,,0.0,0,,6.030747413635254,6.2892560958862305,"[-0.46063077, 0.01454295, 0.04022714, 0.35613582, 0.11849815]",0.6873904761904761,0.03229401684534755,0.0
6,"[0.0, 0.24955923855304718, 0.21925261616706848, 0.30300697684288025, 0.2281811684370041]","[-0.09823758155107498, 0.036315932869911194, -0.04875925928354263, 0.04983321577310562, 0.010883612558245659]","[-0.3629568815231323, 0.3179095387458801, 0.2793024182319641, 0.3859957456588745, 0.2906763553619385]","[-0.10100327432155609, 0.036939315497875214, -0.04906429722905159, 0.049989402294158936, 0.011169015429913998]","[0.0027656981255859137, -0.0006233801250346005, 0.00030503812013193965, -0.00015617044118698686, -0.00028540773200802505]",,,0.0,0,,5.965219497680664,6.214196681976318,"[-0.37213448, 0.13756865, -0.1847053, 0.18877356, 0.04122829]",0.6584380952380954,0.048260330444622745,0.0
7,"[0.0, 0.24357643723487854, 0.2002311795949936, 0.32300299406051636, 0.23318935930728912]","[-0.16749271750450134, 0.015306699089705944, -0.055821798741817474, 0.1557643711566925, 0.06672564148902893]","[-0.3662528395652771, 0.2897367477416992, 0.2381771057844162, 0.38421547412872314, 0.27738121151924133]","[-0.17073319852352142, 0.015269430354237556, -0.05578884854912758, 0.1554293930530548, 0.06705246865749359]","[0.003240482648834586, 3.725059286807664e-05, -3.2920866942731664e-05, 0.00033499274286441505, -0.0003268544969614595]",,,0.0,0,,5.9984235763549805,6.235198497772217,"[-0.39591631, 0.0361817, -0.13195057, 0.36819306, 0.15772489]",0.694552380952381,0.050560736502014925,0.0
8,"[0.0, 0.23814791440963745, 0.19421711564064026, 0.3371492922306061, 0.23048563301563263]","[-0.12032456696033478, -0.018801478669047356, -0.02072792500257492, 0.047598689794540405, -0.009527354501187801]","[-0.3675198554992676, 0.2548421621322632, 0.20783179998397827, 0.36078354716300964, 0.24664275348186493]","[-0.12269726395606995, -0.018596328794956207, -0.02099170908331871, 0.048008278012275696, -0.010291390120983124]","[0.002372706774622202, -0.00020514956850092858, 0.0002637779398355633, -0.0004095938929822296, 0.0007640276453457773]",,,0.0,0,,6.0077691078186035,6.271853446960449,"[-0.37892306, -0.05920914, -0.06527586, 0.14989658, -0.0300033]",0.6425904761904763,0.03135939990955128,0.0
9,"[0.0, 0.2303730994462967, 0.17243923246860504, 0.3617723286151886, 0.23541535437107086]","[-0.1339682936668396, -0.0451774075627327, -0.10852557420730591, 0.10148720443248749, 0.01410730555653572]","[-0.3583279252052307, 0.22006401419639587, 0.16472266614437103, 0.3455832004547119, 0.2248806357383728]","[-0.13539618253707886, -0.04474898800253868, -0.10826663672924042, 0.10146908462047577, 0.014312266372144222]","[0.001427890150807798, -0.0004284092865418643, -0.0002589588111732155, 1.8126576833310537e-05, -0.00020498801313806325]",,,0.0,0,,5.992886543273926,6.287411212921143,"[-0.27560043, -0.09293925, -0.22325949, 0.20878012, 0.02902164]",0.6587428571428571,0.06516866301059654,0.0
10,"[0.0, 0.22860530018806458, 0.14787791669368744, 0.3907841145992279, 0.2327326536178589]","[-0.21011009812355042, -0.028999023139476776, -0.1262483298778534, 0.09746572375297546, -0.03357556834816933]","[-0.3618488311767578, 0.19262607395648956, 0.12460403144359589, 0.3292802572250366, 0.19610384106636047]","[-0.21405628323554993, -0.028453398495912552, -0.12735341489315033, 0.09655297547578812, -0.034172430634498596]","[0.003946156706660986, -0.0005456049693748355, 0.001105103874579072, 0.0009127582306973636, 0.0005968798650428653]",,,0.0,0,,6.04323673248291,6.301995754241943,"[-0.39353713, -0.0543153, -0.23646368, 0.18255372, -0.06288718]",0.609904761904762,0.05293471996350385,0.0
